id,idLegislatura,titulo,uri
54282,56,Frente Parlamentar Mista da Contabilidade Brasileira,https://dadosabertos.camara.leg.br/api/v2/frentes/54282
54280,56,Frente Parlamentar em Defesa dos Técnicos Agrícolas,https://dadosabertos.camara.leg.br/api/v2/frentes/54280
54279,56,Frente Parlamentar Mista das Cooperativas de Transporte Rodoviário de Cargas - FreCoopTRC.,https://dadosabertos.camara.leg.br/api/v2/frentes/54279
54277,56,Frente Parlamentar Mista do Artesão e Apoio do Artesanato Brasileiro.,https://dadosabertos.camara.leg.br/api/v2/frentes/54277
54274,56,Frente Parlamentar dos Recicladores do Brasil (FPRB).,https://dadosabertos.camara.leg.br/api/v2/frentes/54274
54271,56,Frente Parlamentar Mista do Empreendedorismo,https://dadosabertos.camara.leg.br/api/v2/frentes/54271
54268,56,Frente Parlamentar Mista em Defesa das Cidades Históricas - Patrimônio Cultural Brasileiro,https://dadosabertos.camara.leg.br/api/v2/frentes/54268
54270,56,Frente Parlamentar de Prevenção de Doenças Pulmonares Graves,https://dadosabertos.camara.leg.br/api/v2/frentes/54270
54267,56,Frente Parlamentar em Apoio ao Produtor de Leite,https://dadosabertos.camara.leg.br/api/v2/frentes/54267
54265,56,Frente Parlamentar Mista em Defesa do Litoral Brasileiro,https://dadosabertos.camara.leg.br/api/v2/frentes/54265
54266,56,Frente Parlamentar dos Transplantes,https://dadosabertos.camara.leg.br/api/v2/frentes/54266
54264,56,Frente Parlamentar Mista Brasil Competitivo,https://dadosabertos.camara.leg.br/api/v2/frentes/54264
54226,56,Frente Parlamentar Mista Pela Causa da Prematuridade,https://dadosabertos.camara.leg.br/api/v2/frentes/54226
54263,56,Frente Parlamentar em Defesa das Energias Renováveis - FER,https://dadosabertos.camara.leg.br/api/v2/frentes/54263
54260,56,Frente Parlamentar Mista de Apoio ao Mercado de Varejo e E-Commerce-FREVEC,https://dadosabertos.camara.leg.br/api/v2/frentes/54260
54261,56,Frente Parlamentar da Câmara dos Deputados Brasil - Bolívia.,https://dadosabertos.camara.leg.br/api/v2/frentes/54261
54259,56,Frente Parlamentar em Defesa da Desoneração da Folha de Pagamento,https://dadosabertos.camara.leg.br/api/v2/frentes/54259
54257,56,Frente Parlamentar Mista Pelo Fortalecimento do SUS,https://dadosabertos.camara.leg.br/api/v2/frentes/54257
54255,56,Frente Parlamentar Mista em Defesa da Renda Básica,https://dadosabertos.camara.leg.br/api/v2/frentes/54255
54258,56,Frente Parlamentar Mista da Telessaúde,https://dadosabertos.camara.leg.br/api/v2/frentes/54258
54256,56,Frente Parlamentar em Defesa do Comércio de Material de Construção,https://dadosabertos.camara.leg.br/api/v2/frentes/54256
54252,56,Frente Parlamentar em Defesa do Plano Nacional de Educação,https://dadosabertos.camara.leg.br/api/v2/frentes/54252
54253,56,Frente Parlamentar Mista pela Adoção e Convivência Familiar,https://dadosabertos.camara.leg.br/api/v2/frentes/54253
54251,56,Frente Parlamentar Mista para Implantação do Plenário Virtual no Poder Legislativo,https://dadosabertos.camara.leg.br/api/v2/frentes/54251
54249,56,Frente Parlamentar em Defesa dos Profissionais do Sistema Socioeducativo,https://dadosabertos.camara.leg.br/api/v2/frentes/54249
54248,56,Frente Parlamentar em Defesa da Democratização do Ministério Público,https://dadosabertos.camara.leg.br/api/v2/frentes/54248
54250,56,Frente Parlamentar em Apoio ao Ecoturismo - ECOFPAR,https://dadosabertos.camara.leg.br/api/v2/frentes/54250
54231,56,Frente Parlamentar Mista de Segurança Contra Incêndio,https://dadosabertos.camara.leg.br/api/v2/frentes/54231
54245,56,Frente Parlamentar Mista em Defesa da Indústria do Mobiliário (FREMOB),https://dadosabertos.camara.leg.br/api/v2/frentes/54245
54246,56,Frente Parlamentar Brasil-Rússia,https://dadosabertos.camara.leg.br/api/v2/frentes/54246
54243,56,Frente Parlamentar Mista em Defesa da Cadeia Produtiva do Coco,https://dadosabertos.camara.leg.br/api/v2/frentes/54243
