id_evento,email,id,idLegislatura,nome,siglaPartido,siglaUf,uri,uriPartido,urlFoto,tipo_evento,dataHoraInicio
75374,dep.delegadoedermauro@camara.leg.br,178908,57,Delegado Éder Mauro,PL,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/178908,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/178908.jpg,Reunião de Instalação e Eleição,2025-03-19T14:58:00.000Z
75388,dep.josenildo@camara.leg.br,220578,57,Josenildo,PDT,AP,https://dadosabertos.camara.leg.br/api/v2/deputados/220578,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,https://www.camara.leg.br/internet/deputado/bandep/220578.jpg,Reunião Deliberativa,2025-04-02T11:22:00.000Z
75684,dep.sanderson@camara.leg.br,204416,57,Sanderson,PL,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/204416,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/204416.jpg,Reunião de Eleição,2025-03-25T15:59:00.000Z
75684,dep.marcospollon@camara.leg.br,220547,57,Marcos Pollon,PL,MS,https://dadosabertos.camara.leg.br/api/v2/deputados/220547,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/220547.jpg,Reunião de Eleição,2025-03-25T15:59:00.000Z
75684,dep.delegadaione@camara.leg.br,220625,57,Delegada Ione,AVANTE,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/220625,https://dadosabertos.camara.leg.br/api/v2/partidos/36898,https://www.camara.leg.br/internet/deputado/bandep/220625.jpg,Reunião de Eleição,2025-03-25T15:59:00.000Z
75684,dep.eribertomedeiros@camara.leg.br,220663,57,Eriberto Medeiros,PSB,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/220663,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,https://www.camara.leg.br/internet/deputado/bandep/220663.jpg,Reunião de Eleição,2025-03-25T15:59:00.000Z
75701,dep.francianebayer@camara.leg.br,220551,57,Franciane Bayer,REPUBLICANOS,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/220551,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/220551.jpg,Reunião de Eleição,2025-03-26T10:15:00.000Z
75763,dep.generalpazuello@camara.leg.br,220611,57,General Pazuello,PL,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/220611,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/220611.jpg,Reunião Deliberativa,2025-04-01T15:00:00.000Z
75763,null,220619,57,Delegado Ramagem,PL,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/220619,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/220619.jpg,Reunião Deliberativa,2025-04-01T15:00:00.000Z
75763,dep.andrefernandes@camara.leg.br,220657,57,André Fernandes,PL,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/220657,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/220657.jpg,Reunião Deliberativa,2025-04-01T15:00:00.000Z
75817,dep.pauloabiackel@camara.leg.br,141516,57,Paulo Abi-Ackel,PSDB,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/141516,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,https://www.camara.leg.br/internet/deputado/bandep/141516.jpg,Reunião Deliberativa,2025-04-03T09:36:00.000Z
75817,dep.niltotatto@camara.leg.br,178986,57,Nilto Tatto,PT,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/178986,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/178986.jpg,Reunião Deliberativa,2025-04-03T09:36:00.000Z
75817,dep.olivalmarques@camara.leg.br,204498,57,Olival Marques,PODE,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/204498,https://dadosabertos.camara.leg.br/api/v2/partidos/36896,https://www.camara.leg.br/internet/deputado/bandep/204498.jpg,Reunião Deliberativa,2025-04-03T09:36:00.000Z
75930,null,73531,57,Ivan Valente,PSOL,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/73531,https://dadosabertos.camara.leg.br/api/v2/partidos/36839,https://www.camara.leg.br/internet/deputado/bandep/73531.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.luizcouto@camara.leg.br,74041,57,Luiz Couto,PT,PB,https://dadosabertos.camara.leg.br/api/v2/deputados/74041,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/74041.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.josepriante@camara.leg.br,74079,57,José Priante,MDB,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/74079,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,https://www.camara.leg.br/internet/deputado/bandep/74079.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.paulopimenta@camara.leg.br,74400,57,Paulo Pimenta,PT,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/74400,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/74400.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.lauracarneiro@camara.leg.br,74856,57,Laura Carneiro,PSD,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/74856,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,https://www.camara.leg.br/internet/deputado/bandep/74856.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.socorroneri@camara.leg.br,104552,57,Socorro Neri,PP,AC,https://dadosabertos.camara.leg.br/api/v2/deputados/104552,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/104552.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.carloszarattini@camara.leg.br,141398,57,Carlos Zarattini,PT,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/141398,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/141398.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.jonasdonizette@camara.leg.br,160548,57,Jonas Donizette,PSB,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/160548,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,https://www.camara.leg.br/internet/deputado/bandep/160548.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.pedrouczai@camara.leg.br,160604,57,Pedro Uczai,PT,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/160604,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/160604.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.rodrigovaladares@camara.leg.br,165470,57,Rodrigo Valadares,União,SE,https://dadosabertos.camara.leg.br/api/v2/deputados/165470,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/165470.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.geovaniadesa@camara.leg.br,178966,57,Geovania de Sá,PSDB,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/178966,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/178966.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.ricardoguidi@camara.leg.br,204362,57,Ricardo Guidi,PL,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/204362,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/204362.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.nataliabonavides@camara.leg.br,204453,57,Natália Bonavides,PT,RN,https://dadosabertos.camara.leg.br/api/v2/deputados/204453,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/204453.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.rogeriocorreia@camara.leg.br,204480,57,Rogério Correia,PT,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/204480,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/204480.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.maurobenevidesfilho@camara.leg.br,204486,57,Mauro Benevides Filho,PDT,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/204486,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,https://www.camara.leg.br/internet/deputado/bandep/204486.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.zevitor@camara.leg.br,204517,57,Zé Vitor,PL,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/204517,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/204517.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.junioamaral@camara.leg.br,204520,57,Junio Amaral,PL,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/204520,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/204520.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.ajalbuquerque@camara.leg.br,204549,57,AJ Albuquerque,PP,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/204549,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/204549.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,dep.josivaldojp@camara.leg.br,215043,57,Josivaldo JP,PSD,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/215043,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,https://www.camara.leg.br/internet/deputado/bandep/215043.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
75930,null,218086,57,Ely Santos,Republican,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/218086,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/218086.jpg,Sessão Deliberativa,2025-04-10T10:27:00.000Z
