id_votacao,id_deputado,nome_deputado,voto,data_captura
999001,160538,Bohn Gass,Não,2026-05-10
999001,141411,Dagoberto Nogueira,Abstenção,2026-05-10
999001,74467,Damião Feliciano,Não,2026-05-10
999001,66828,Fausto Pinato,Sim,2026-05-10
999001,220545,Filipe Martins,Sim,2026-05-10
999001,74270,Gilberto Nascimento,Sim,2026-05-10
999001,220648,Marangoni,Sim,2026-05-10
999001,122158,Pedro Paulo,Abstenção,2026-05-10
999001,224333,Welter,Não,2026-05-10
999001,204560,Adolfo Viana,Sim,2026-05-10
999001,204388,Bibo Nunes,Não,2026-05-10
999001,220595,Coronel Fernanda,Abstenção,2026-05-10
999001,204365,Gilson Marques,Não,2026-05-10
999001,220537,Helena Lima,Sim,2026-05-10
999001,204536,Kim Kataguiri,Não,2026-05-10
999001,178986,Nilto Tatto,Sim,2026-05-10
999001,74084,Raimundo Santos,Não,2026-05-10
999001,220543,Ricardo Ayres,Não,2026-05-10
999001,204374,Bia Kicis,Sim,2026-05-10
999001,220635,Bruno Ganem,Não,2026-05-10
999001,141398,Carlos Zarattini,Sim,2026-05-10
999001,220599,Marcelo Crivella,Sim,2026-05-10
999001,150418,Márcio Marinho,Não,2026-05-10
999001,220685,Paulo Litro,Sim,2026-05-10
999001,160600,Arthur Oliveira Maia,Abstenção,2026-05-10
999001,160665,Augusto Coutinho,Abstenção,2026-05-10
999001,220683,Beto Richa,Abstenção,2026-05-10
999001,213762,Carla Dickson,Sim,2026-05-10
999001,220608,Cristiane Lopes,Sim,2026-05-10
999001,220559,Julia Zanatta,Sim,2026-05-10
999001,141487,Luiz Fernando Faria,Não,2026-05-10
999001,156190,Marcel van Hattem,Abstenção,2026-05-10
999001,178997,Moses Rodrigues,Sim,2026-05-10
999001,233594,Rafael Fera,Abstenção,2026-05-10
999001,220532,Rafael Prudente,Abstenção,2026-05-10
999001,220626,Rafael Simoes,Não,2026-05-10
999001,153423,Renilce Nicodemos,Não,2026-05-10
999001,141533,Rodrigo Rollemberg,Abstenção,2026-05-10
999001,220560,Thiago de Joaldo,Não,2026-05-10
999001,220646,Felipe Becari,Não,2026-05-10
